name,slug,parent,description
"Céltáblák, célok",celtablak-celok,Engedélymentes fegyver,
Kompresszor,kompresszor,Engedélymentes fegyver,
"Modell, makett",modell-makett,Engedélymentes fegyver,
Játék,jatek,Engedélymentes fegyver,
Lőszerek,loszerek,,
Golyós lőszer,golyos-loszer,Lőszerek,
Műanyag hegyű,muanyag-hegyu-golyas-loszer,Golyós lőszer,
Ólom hegyű mag,olom-hegyu-mag,Golyós lőszer,
Ólommentes mag,olommentes-mag-golyas,Golyós lőszer,
Fúrt,furt-golyas,Golyós lőszer,
Teljes köpenyes,teljes-kopenyes-golyas,Golyós lőszer,
Kiskaliberű lőszer,kiskaliberu-loszer,Lőszerek,
Műanyag hegyű,muanyag-hegyu-kiskaliberu,Kiskaliberű lőszer,
Fúrt,furt-kiskaliberu,Kiskaliberű lőszer,
Lekerekített hegyű,lekerekitett-hegyu,Kiskaliberű lőszer,
FMJ teljes köpenyes,fmj-teljes-kopenyes,Kiskaliberű lőszer,
Ólommentes,olommentes,Kiskaliberű lőszer,
Pisztoly lőszer,pisztoly-loszer,Lőszerek,
Teljes köpenyes,teljes-kopenyes-pisztoly,Pisztoly lőszer,
Sport,sport-pisztoly-loszer,Pisztoly lőszer,
Sörétes lőszer,soretes-loszer,Lőszerek,
Sport,sport-soretes-loszer,Sörétes lőszer,
Vadász,vadasz,Sörétes lőszer,
Nagy szemű sörét,nagy-szemu-soret,Sörétes lőszer,
Gyöngygolyó,gyongygolyo,Sörétes lőszer,
Acélsörét,acelsoret,Sörétes lőszer,
Ólommentes mag,olommentes-mag-soretes,Sörétes lőszer,
Rendvédelmi,rendvedelmi,Sörétes lőszer,
Lőszertöltés,loszertoltes,Lőszerek,
Gépek,gepek,Lőszertöltés,
Hüvelyek,huvelyek,Lőszertöltés,
Kenéstechnika,kenestechnika,Lőszertöltés,
Kiegészítők,kiegeszitok-loszertoltes,Lőszertöltés,
Lőpormérők,lopormerok,Lőszertöltés,
Lövedékek,lovedekek,Lőszertöltés,
Matricák,matricak,Lőszertöltés,
Tisztítók,tisztitok,Lőszertöltés,
Csappantyúk,csappantyuk,Lőszertöltés,
Felszerelések,felszerelesek,,
HI-Viz irányzékok,hi-viz-iranyzekok,Felszerelések,
Golyós,golyas-hiviz,HI-Viz irányzékok,
Sörétes,soretes-hiviz,HI-Viz irányzékok,
Pisztoly,pisztoly-hiviz,HI-Viz irányzékok,
Tusgumi,tusgumi,Felszerelések,
Szíjkengyel,szijkengyel,Felszerelések,
Fegyverszíj,fegyverszij,Felszerelések,
"Lőszertartó, töltényöv",loszertarto-toltenyov,Felszerelések,
Lőszertartó,loszertarto-kategoria,"Lőszertartó, töltényöv",
Töltényöv,toltenyov,"Lőszertartó, töltényöv",
Fegyvertok,fegyvertok,Felszerelések,
Puskatok,puskatok,Fegyvertok,
Fém és műa. fegyverkoffer,fem-es-mua-fegyverkoffer,Fegyvertok,
Pisztolytok,pisztolytok,Fegyvertok,
Tártok,tartok,Fegyvertok,
"Bipod, lőbot",bipod-lobot,Felszerelések,
Bipod,bipod,"Bipod, lőbot",
Lőbot,lobot,"Bipod, lőbot",
Fegyver belövés,fegyver-beloves,Felszerelések,
Lőzsák / fegyvertámasz,lozsak-fegyvertamasz,Fegyver belövés,
Belövő állvány,belovo-allvany,Fegyver belövés,
"Céltábla, lőlap",celtabla-lolap,Fegyver belövés,
Célkamera,celkamera,Fegyver belövés,
Fegyver tárolás,fegyver-tarolas,Felszerelések,
Fegyverszekrény,fegyverszekreny,Fegyver tárolás,
Pisztolykazetta,pisztolykazetta,Fegyver tárolás,
Elsütő billentyű zár,elsuto-billentyu-zar,Fegyver tárolás,
"Tartó, konzol",tarto-konzol,Fegyver tárolás,
Fegyver ápolás,fegyver-apolas,Felszerelések,
"Fegyverolajok, vegyszerek",fegyverolajok-vegyszerek,Fegyver ápolás,
Puffer és páraszívó patronok,puffer-es-paraszivo-patronok,Fegyver ápolás,
Csőkígyók,csokigyok,Fegyver ápolás,
Kefék és pálcák,kefek-es-palcak,Fegyver ápolás,
Készletek,keszletek-apolas,Fegyver ápolás,
Egyéb felszerelések,egyeb-felszereles-apolas,Fegyver ápolás,
Endoszkópok,endoszkopok,Fegyver ápolás,
Tisztító állvány,tisztito-allvany,Fegyver ápolás,
"Termosz, kulacs",termosz-kulacs,Felszerelések,
"Iránytű, tájoló",iranytu-tajolo,Felszerelések,
Hasznos dolgok,hasznos-dolgok,Felszerelések,
Védőfelszerelések,vedofelszerelesek,Felszerelések,
Fülvédő,fulvedo,Védőfelszerelések,
Védőszemüveg,vedoszemuveg,Védőfelszerelések,
Protektorok,protektorok,Védőfelszerelések,
Táska,taska,Felszerelések,
Hátizsák,hatizsak,Táska,
Oldaltáska,oldaltaska,Táska,
Range bag,range-bag,Táska,
"Aggaték, bőrtermékek",aggatek-bortermekek,Felszerelések,
Aggaték,aggatek,"Aggaték, bőrtermékek",
"Pénztárca, bankkártyatartó",penztarca-bankkartyatarto,"Aggaték, bőrtermékek",
"Igazolványtartó, kulcstartó",igazolvanytarto-kulcstarto,"Aggaték, bőrtermékek",
"Lőszertartó, pofadékemelő",loszertarto-pofadekemelo,"Aggaték, bőrtermékek",
"Bicska, tőr, kard",bicska-tor-kard,Felszerelések,
Vadászbicska,vadaszbicska,"Bicska, tőr, kard",
Egykezes bicska,egykezes-bicska,"Bicska, tőr, kard",
Taktikai bicska,taktikai-bicska,"Bicska, tőr, kard",
Svájci bicska,svajci-bicska,"Bicska, tőr, kard",
"Vadászkés, vadásztőr",vadaszkes-vadasztor,"Bicska, tőr, kard",
"Taktikai kés, taktikai tőr",taktikai-kes-taktikai-tor,"Bicska, tőr, kard",
Dobótőr,dobotor,"Bicska, tőr, kard",
"Kard, pajzs",kard-pajzs,"Bicska, tőr, kard",
Késélező,keselezo,"Bicska, tőr, kard",
Konyhakés,konyhakes,"Bicska, tőr, kard",
"Machete, bozótvágó",machete-bozotvago,"Bicska, tőr, kard",
Multiszerszám,multiszerszam,"Bicska, tőr, kard",
"Tok, késlánc",tok-keslanc,"Bicska, tőr, kard",
"Taktikai ásó, taktikai fejsze",taktikai-aso-taktikai-fejsze,"Bicska, tőr, kard",
"Könyv, ajándék, agancs termék",konyv-ajandek-agancs-termek,Felszerelések,
Könyv,konyv,"Könyv, ajándék, agancs termék",
Agancs termék,agancs-termek,"Könyv, ajándék, agancs termék",
Artina ón termékek,artina-on-termekek,"Könyv, ajándék, agancs termék",
Kitűző,kituzo,"Könyv, ajándék, agancs termék",
Üveg és kerámia termékek,uveg-es-keramia-termekek,"Könyv, ajándék, agancs termék",
Kulcstartó,kulcstarto-ajandek,"Könyv, ajándék, agancs termék",
Egyéb,egyeb-ajandek,"Könyv, ajándék, agancs termék",
"Ruházat, lábbeli",ruhazat-labbeli,Felszerelések,
"Kalap, sapka, maszk",kalap-sapka-maszk,"Ruházat, lábbeli",
Kesztyű,kesztyu,"Ruházat, lábbeli",
Zokni,zokni,"Ruházat, lábbeli",
Öv,ov,"Ruházat, lábbeli",
Gumicsizma,gumicsizma,"Ruházat, lábbeli",
"Bakancs, félcipő",bakancs-felcipo,"Ruházat, lábbeli",
"Ing, póló",ing-polo,"Ruházat, lábbeli",
Pulóver,pulover,"Ruházat, lábbeli",
Kabát,kabat,"Ruházat, lábbeli",
Mellény,melleny,"Ruházat, lábbeli",
Nadrág,nadrag,"Ruházat, lábbeli",
Zubbony,zubbony,"Ruházat, lábbeli",
Szúnyogriasztó,szunyogriaszto,Felszerelések,
Koronglövészet,korongloveszet,Felszerelések,
Vadászati kiegészítők,vadaszati-kiegeszitok,Felszerelések,
Vadászkutya felszerelés,vadaszkutya-felszereles,Felszerelések,
"Vadhívás, lesvadászat",vadhivas-lesvadaszat,,
Lámpák,lampak,"Vadhívás, lesvadászat",
Fegyverlámpa,fegyverlampa,Lámpák,
Kézi reflektor,kezi-reflektor,Lámpák,
Elem- és akkuslámpa,elem-es-akkuslampa,Lámpák,
Fejlámpa,fejlampa,Lámpák,
Vérkereső lámpa,verkereso-lampa,Lámpák,
"Akkumulátorok, izzók",akkumulatorok-izzok,Lámpák,
"Tartozékok, kiegészítők",tartozekok-kiegeszitok-lampak,Lámpák,
"Csalisíp, Kürt",csalisip-kurt,"Vadhívás, lesvadászat",
Illatanyag,illatanyag,"Vadhívás, lesvadászat",
Vadetető csali,vadeteto-csali,"Vadhívás, lesvadászat",
Vadászszék,vadaszszek,"Vadhívás, lesvadászat",
Élvefogó csapda,elvefogo-csapda,"Vadhívás, lesvadászat",
Elektromos hívó,elektromos-hivo,"Vadhívás, lesvadászat",
Vadetetők,vadetetok,"Vadhívás, lesvadászat",
"Mobil les, vadkár les",mobil-les-vadkar-les,"Vadhívás, lesvadászat",
Lessátor/Vadászsátor,lessator-vadaszsator,"Vadhívás, lesvadászat",
Hangtompítók,hangtompitok,,
A-Tec,a-tec,Hangtompítók,
1/2-20,1-2-20,A-Tec,
1/2-28,1-2-28,A-Tec,
5/8-24,5-8-24,A-Tec,
